num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
47,44,9,0,0,0,2,0,1
56,43,13,0,0,0,5,0,1
487,242,181,0,0,0,13,0,1
248,132,94,3,2,0,10,0,0
52,44,16,0,0,1,4,0,0
36,31,9,0,0,0,5,0,0
44,34,18,0,0,0,1,0,1
110,79,34,0,0,0,4,0,0
702,312,194,2,1,4,69,2,0
98,75,26,0,0,0,7,1,0
253,179,70,0,0,0,2,0,1
69,52,26,0,0,0,3,0,1
533,286,186,2,2,0,22,2,1
193,105,71,0,0,0,22,0,0
111,73,33,0,0,1,6,1,0
35,32,5,0,0,0,6,0,1
210,121,73,0,0,1,6,0,0
37,32,14,0,0,0,0,0,0
100,61,18,5,3,3,18,0,1
34,31,9,0,0,1,5,0,0
45,45,0,0,0,0,2,0,1
86,60,30,0,0,0,11,0,0
18,16,0,0,0,0,5,0,1
11,11,3,0,0,0,2,0,0
66,46,4,1,1,5,28,0,0
36,32,10,0,0,0,3,0,0
112,75,34,0,0,0,2,0,0
242,135,74,1,1,0,12,1,0
179,103,63,1,1,2,3,1,0
325,146,77,0,0,7,32,1,0
30,27,5,0,0,0,3,0,1
34,32,9,0,0,0,0,0,0
410,210,127,3,3,2,22,1,1
53,46,15,0,0,0,2,0,1
210,102,59,0,0,0,5,0,0
117,90,53,0,0,0,14,0,1
14841,3054,4789,4,4,1,479,2,0
131,80,46,4,2,0,8,0,1
177,100,51,0,0,0,22,1,0
207,113,92,0,0,0,7,0,0
132,91,40,0,0,0,9,0,1
314,146,99,0,0,6,26,1,0
27,21,3,0,0,0,7,0,1
292,164,77,0,0,0,43,0,0
148,134,24,0,0,0,13,1,1
70,69,9,0,0,0,0,0,1
381,216,127,0,0,0,16,1,1
951,290,258,1,1,1,15,1,0
184,170,24,0,0,0,33,0,1
9,9,2,0,0,0,0,0,1
25,24,6,0,0,0,0,0,1
125,74,46,0,0,0,7,0,0
119,84,35,0,0,3,15,0,0
19,15,9,0,0,0,0,0,0
146,109,28,1,1,0,11,0,1
243,143,78,0,0,0,5,0,1
75,61,31,0,0,0,8,0,1
1002,501,317,0,0,0,135,0,1
64,51,19,0,0,0,2,0,1
123,85,33,0,0,0,13,0,0
57,43,22,0,0,0,4,0,0
69,55,24,0,0,0,3,0,0
77,55,23,1,1,2,5,0,0
116,76,21,1,1,1,8,1,1
494,284,162,0,0,1,23,1,1
15,15,5,0,0,0,0,0,0
132,88,38,0,0,0,4,0,1
901,445,322,0,0,0,3,1,0
75,55,22,0,0,0,3,0,1
63,46,14,3,3,1,11,0,1
39,33,8,0,0,0,3,0,1
463,222,166,0,0,0,16,2,1
51,46,15,0,0,0,3,2,1
28,28,4,0,0,0,11,0,1
211,109,39,0,0,0,41,0,0
59,51,17,0,0,0,2,0,0
842,344,372,0,0,0,23,1,1
60,44,28,0,0,0,1,0,1
58,47,18,0,0,0,2,0,0
